Year,TeamId,TeamName,Location,Round,RoundsCompleted,RoundsRemaining,PointsEarnedThisRound,MaxDriverPoints,MinDriverPoints,DriverPointsGap,DNFsThisRound,PointsLast3Rounds,DNFsLast3Rounds,DNFRate,AvgGridPosition,AvgPosition,AvgPointsPerRace,TotalPointFinishes,FormRatio,Consistency,TotalPodiums,TotalPoints,hadPenaltyThisYear,ProjectedGrowth,ProjectedSeasonTotalPoints,RelativePointsShare,CurrentRankAfterRound,PercentileRankAfterRound,CurrentRank
2025,mclaren,McLaren,Zandvoort,15,14,10,25.0,25.0,0.0,25.0,0,124.0,0.0,0.0,2.716666666666667,3.316666666666667,16.716666666666665,34,2.472582203936547,0.7917751788816437,25,584.0,0,126.0,710.0,0.3598274799753543,1,1.0,1
2025,mclaren,McLaren,Monza,16,15,9,33.0,18.0,15.0,3.0,0,101.0,0.0,0.0,2.703125,3.265625,16.703125,36,2.015590854693541,0.7736240669696444,27,617.0,0,80.0,697.0,0.3578886310904872,1,1.0,1
2025,mclaren,McLaren,Baku,17,16,8,6.0,6.0,0.0,6.0,1,64.0,1.0,0.0294117647058823,3.014705882352941,3.8676470588235294,15.897058823529411,37,1.3419672860765417,0.6336322358567444,27,623.0,0,32.6,655.6,0.3413698630136986,1,1.0,1
2025,mclaren,McLaren,Marina Bay,18,17,7,27.0,15.0,12.0,3.0,0,66.0,1.0,0.0277777777777777,3.0694444444444446,3.8472222222222223,15.76388888888889,39,1.3955946841460154,0.6638259283744358,28,650.0,0,0.0,650.0,0.3374870197300104,1,1.0,1
2025,mercedes,Mercedes,Zandvoort,15,14,10,12.0,12.0,0.0,12.0,0,38.0,0.0,0.1333333333333333,7.216666666666667,8.366666666666667,7.1,25,1.7840374749278185,0.6407133266031725,7,248.0,0,29.4,277.4,0.1528034504004929,3,0.7777777777777778,2
2025,mercedes,Mercedes,Monza,16,15,9,12.0,10.0,2.0,8.0,0,40.0,0.0,0.125,7.109375,8.28125,7.03125,27,1.8962962063978095,0.6461546163395508,7,260.0,0,20.4,280.4,0.1508120649651972,3,0.7777777777777778,2
2025,mercedes,Mercedes,Baku,17,16,8,30.0,18.0,12.0,6.0,0,54.0,0.0,0.1176470588235294,6.955882352941177,7.970588235294118,7.5,29,2.399999893333338,0.6632388851481172,8,290.0,0,16.0,306.0,0.1589041095890411,2,0.8888888888888888,2
2025,mercedes,Mercedes,Marina Bay,18,17,7,35.0,25.0,10.0,15.0,0,77.0,0.0,0.1111111111111111,6.708333333333333,7.694444444444445,8.055555555555555,31,3.1862067647086856,0.660994097133137,9,325.0,0,0.0,325.0,0.1687435098650052,2,0.8888888888888888,2
2025,ferrari,Ferrari,Zandvoort,15,14,10,0.0,0.0,0.0,0.0,2,38.0,2.0,0.1166666666666666,6.5,7.333333333333333,7.766666666666667,28,1.6309012175578876,0.5776324971182945,5,260.0,0,46.2,306.2,0.1601971657424522,2,0.8888888888888888,3
2025,ferrari,Ferrari,Monza,16,15,9,20.0,12.0,8.0,4.0,0,32.0,2.0,0.109375,6.53125,7.1875,7.90625,30,1.3491435531322875,0.5882857613418214,5,280.0,0,28.0,308.0,0.1624129930394431,2,0.8888888888888888,3
2025,ferrari,Ferrari,Baku,17,16,8,6.0,4.0,2.0,2.0,0,26.0,2.0,0.1029411764705882,6.794117647058823,7.264705882352941,7.617647058823529,32,1.1377090879252136,0.5505404861918952,5,286.0,0,12.8,298.8,0.1567123287671233,3,0.7777777777777778,3
2025,ferrari,Ferrari,Marina Bay,18,17,7,12.0,8.0,4.0,4.0,0,38.0,0.0,0.0972222222222222,6.777777777777778,7.25,7.527777777777778,34,1.6826567520594795,0.571973939584728,5,298.0,0,0.0,298.0,0.1547248182762201,3,0.7777777777777778,3
2025,red_bull,Red Bull Racing,Zandvoort,15,14,10,20.0,18.0,2.0,16.0,0,42.0,0.0,0.1,9.15,9.183333333333334,6.233333333333333,21,2.2459891847064606,0.5218551301886345,6,214.0,0,31.200000000000003,245.2,0.1318545902649414,4,0.6666666666666667,4
2025,red_bull,Red Bull Racing,Monza,16,15,9,25.0,25.0,0.0,25.0,0,47.0,0.0,0.09375,8.890625,9.046875,6.625,22,2.3647797552312073,0.6244214892010149,7,239.0,0,30.8,269.8,0.1386310904872389,4,0.6666666666666667,4
2025,red_bull,Red Bull Racing,Baku,17,16,8,33.0,25.0,8.0,17.0,0,78.0,0.0,0.088235294117647,8.573529411764707,8.720588235294118,7.205882352941177,24,3.608163098397897,0.6373525678050651,8,272.0,0,20.0,292.0,0.1490410958904109,4,0.6666666666666667,4
2025,red_bull,Red Bull Racing,Marina Bay,18,17,7,18.0,18.0,0.0,18.0,0,76.0,0.0,0.0833333333333333,8.51388888888889,8.625,7.305555555555555,25,3.467680450143858,0.6319542788407554,9,290.0,0,0.0,290.0,0.1505711318795431,4,0.6666666666666667,4
2025,williams,Williams,Zandvoort,15,14,10,10.0,10.0,0.0,10.0,0,21.0,0.0,0.2166666666666666,11.316666666666666,12.016666666666667,2.1666666666666665,17,3.230768733727887,0.4858377535085164,0,80.0,0,15.0,95.0,0.0492914356130622,5,0.5555555555555556,5
2025,williams,Williams,Monza,16,15,9,6.0,6.0,0.0,6.0,0,16.0,0.0,0.203125,11.453125,11.828125,2.21875,18,2.4037555074170127,0.5797404851707537,0,86.0,0,12.4,98.4,0.0498839907192575,5,0.5555555555555556,5
2025,williams,Williams,Baku,17,16,8,15.0,15.0,0.0,15.0,0,31.0,0.0,0.1911764705882352,11.397058823529411,11.602941176470589,2.5294117647058822,19,4.08527077946044,0.59645076778234,1,101.0,0,8.4,109.4,0.0553424657534246,5,0.5555555555555556,5
2025,williams,Williams,Marina Bay,18,17,7,1.0,1.0,0.0,1.0,0,22.0,0.0,0.1805555555555555,11.819444444444445,11.625,2.4166666666666665,20,3.0344823400714014,0.5051712873937723,1,102.0,0,0.0,102.0,0.0529595015576324,5,0.5555555555555556,5
2025,rb,Racing Bulls,Zandvoort,15,14,10,15.0,15.0,0.0,15.0,0,24.0,0.0,0.15,10.716666666666669,11.916666666666666,1.8666666666666667,12,4.2857135204083,0.5335716878936021,1,60.0,0,19.200000000000003,79.2,0.0369685767097966,7,0.3333333333333333,6
2025,rb,Racing Bulls,Monza,16,15,9,1.0,1.0,0.0,1.0,0,20.0,0.0,0.140625,11.203125,11.921875,1.78125,13,3.742689358093219,0.4562798800493678,1,61.0,0,10.0,71.0,0.0353828306264501,7,0.3333333333333333,6
2025,rb,Racing Bulls,Baku,17,16,8,11.0,10.0,1.0,9.0,0,27.0,0.0,0.1323529411764706,10.867647058823527,11.661764705882351,2.0,15,4.4999992500001245,0.5592448630412444,1,72.0,0,7.2,79.2,0.0394520547945205,6,0.4444444444444444,6
2025,rb,Racing Bulls,Marina Bay,18,17,7,0.0,0.0,0.0,0.0,0,12.0,0.0,0.125,10.819444444444445,11.73611111111111,1.8888888888888888,15,2.1176466851211733,0.4868655207424665,1,72.0,0,0.0,72.0,0.0373831775700934,6,0.4444444444444444,6
2025,aston_martin,Aston Martin,Zandvoort,15,14,10,10.0,6.0,4.0,2.0,0,26.0,0.0,0.1,12.566666666666666,11.916666666666666,2.033333333333333,12,4.262294383230429,0.5784128585226795,0,62.0,0,24.0,86.0,0.0382008626001232,6,0.4444444444444444,7
2025,aston_martin,Aston Martin,Monza,16,15,9,0.0,0.0,0.0,0.0,1,26.0,1.0,0.125,12.53125,12.328125,1.90625,12,4.546447292424517,0.4974314758304597,0,62.0,0,13.6,75.6,0.0359628770301624,6,0.4444444444444444,7
2025,aston_martin,Aston Martin,Baku,17,16,8,0.0,0.0,0.0,0.0,0,10.0,1.0,0.1176470588235294,12.529411764705882,12.544117647058824,1.7941176470588236,12,1.8579231520798511,0.4117289276755847,0,62.0,0,5.2,67.2,0.033972602739726,7,0.3333333333333333,7
